date, pm25, no2, so2, co
2019/3/5, , , , 
2019/3/6, , , , 
2019/3/7, , , , 
2019/3/8, , , , 
2019/3/9, , , , 
2019/3/10, , , , 
2019/3/11, , , , 
2019/3/12, , , , 
2019/3/13, , , , 
2019/3/14, , , , 
2019/3/16, , , , 
2019/3/17, , , , 
2019/3/18, , , , 
2019/3/19, , , , 
2019/3/20, , , , 
2019/3/21, , , , 
2019/3/22, , , , 
2019/3/23, , , , 
2019/3/24, , , , 
2019/3/25, , , , 
2019/3/26, , , , 
2019/3/29, , , , 
2019/3/30, , , , 
2019/3/31, , , , 
2018/10/1, 70, 55, 26, 47
2018/10/2, 70, 55, 26, 52
2018/10/3, 76, 53, 29, 42
2018/10/4, 75, 50, , 34
2018/10/5, 31, 42, 20, 15
2018/10/6, 10, 32, 19, 25
2018/10/24, 74, 42, 23, 21
2018/10/25, 71, 31, 22, 75
2018/10/26, 93, 34, 21, 17
2018/10/27, 66, 33, 7, 18
2018/10/28, 56, 30, 18, 29
2018/10/29, 75, 34, 24, 26
2018/10/30, 77, 47, 22, 33
2018/10/31, 76, 43, 24, 23
2018/11/1, 68, 37, 28, 24
2018/11/2, 61, 37, 27, 16
2018/11/3, 49, 33, 24, 17
2018/11/4, 44, 36, 25, 25
2018/11/5, 55, 41, 27, 33
2018/11/6, 71, 37, 20, 20
2018/11/7, 68, 29, 21, 22
2018/11/8, 86, 37, 13, 23
2018/11/9, 101, 37, , 31
2018/11/10, 115, 40, 18, 32
2018/11/11, 127, 37, 14, 27
2018/11/12, 97, 38, , 27
2018/11/13, 66, , 21, 19
2018/11/14, 74, 34, 18, 23
2018/11/15, 54, 36, , 24
2018/11/16, 104, 63, 21, 33
2018/11/17, 103, 61, 30, 58
2018/11/18, 91, 60, 29, 37
2018/11/19, 120, 57, 29, 29
2018/11/20, 128, 54, 28, 30
2018/11/21, 129, 56, 30, 36
2018/11/22, 108, , , 
2018/11/26, 57, 30, 20, 21
2018/11/27, 50, 54, 26, 39
2018/11/28, 92, 64, 30, 32
2018/11/29, 122, 56, 25, 24
2018/11/30, 146, 42, 25, 19
2018/12/1, 98, 38, 19, 20
2018/12/2, 82, 46, 22, 26
2018/12/3, 102, , 31, 31
2018/12/4, 132, , 31, 26
2018/12/5, 139, 52, 27, 31
2018/12/6, 142, 42, 21, 19
2018/12/7, 100, 32, 22, 19
