date, pm25, pm10, o3, no2, so2, co
2019/10/30, 58, 32, 17, 43, 5, 20
2019/10/31, 45, 28, 25, 39, 3, 20
2019/11/1, 59, 37, 26, 43, 4, 22
2019/11/2, 62, 46, 15, 50, 4, 25
2019/11/3, 70, 41, 13, 43, 6, 20
2019/11/4, 49, 53, 17, 55, 6, 25
2019/11/5, 89, 62, 24, 57, 6, 25
2019/11/6, 104, 58, 26, 62, 6, 29
2019/11/7, 114, 53, 34, 51, 6, 22
2019/11/8, 98, 47, 20, 56, 7, 21
2019/11/9, 71, 50, 22, 64, 6, 25
2019/11/10, 78, 58, 19, 81, 7, 30
2019/11/11, 103, 59, 19, 79, 6, 32
2019/11/12, 97, 58, 13, 83, 14, 29
2019/11/13, 97, 65, 17, 86, 12, 32
2019/11/14, 119, 49, 21, 52, 5, 18
2019/11/15, 80, 16, 16, 31, 3, 15
2019/11/16, 31, , , , , 
2019/11/19, 77, 21, 2, 47, 3, 22
2019/11/20, 53, 38, 9, 57, 4, 28
2019/11/21, 69, 36, 8, 45, 6, 21
2019/11/22, 71, 41, 8, 45, 6, 20
2019/11/23, 82, 36, 4, 43, 6, 17
2019/11/24, 80, 40, 3, 47, 7, 17
2019/11/25, 69, 45, 6, 56, 8, 20
2019/11/26, 81, 61, 6, 70, 10, 28
2019/11/27, 113, 77, 4, 83, 10, 32
2019/11/28, 137, 54, 9, 58, 9, 22
2019/11/29, 102, 50, 12, 53, 7, 25
2019/11/30, 89, 46, 6, 65, 10, 25
2019/12/1, 72, 67, 2, 83, 9, 35
2019/12/2, 113, 32, 2, 51, 5, 22
2019/12/3, 58, 27, 8, 49, 4, 21
2019/12/4, 46, 49, 7, 64, 4, 26
2019/12/5, 78, 42, 10, 49, 5, 20
2019/12/6, 65, 25, 10, 43, 4, 16
2019/12/7, 44, 19, 12, 40, 3, 18
2019/12/8, 39, 24, 14, 44, 4, 18
2019/12/9, 37, 28, 4, 52, 4, 18
2019/12/10, 45, 37, 7, 55, 5, 23
2019/12/11, 64, 32, 5, 52, 6, 19
2019/12/12, 49, 42, 9, 57, 5, 21
2019/12/13, 80, 51, 5, 70, 14, 26
2019/12/14, 97, 64, 6, 86, 11, 33
2019/12/15, 118, 65, 8, 87, 11, 30
2019/12/16, 124, 38, 10, 55, 6, 17
2019/12/17, 76, 34, 9, 54, 5, 23
2019/12/18, 54, 37, 6, 65, 6, 24
2019/12/19, 54, 50, 6, 81, 6, 32
2019/12/20, 79, 57, 6, 89, 10, 34
2019/12/21, 95, 58, 6, 88, 13, 31
2019/12/22, 104, 58, 7, 90, 10, 32
2019/12/23, 103, 64, 6, 95, 9, 35
2019/12/24, 112, 60, 7, 89, 16, 31
2019/12/25, 102, 57, 6, 86, 8, 32
2019/12/26, 92, 52, 14, 75, 7, 28
2019/12/27, 81, 33, 13, 47, 4, 17
2019/12/28, 51, 39, 12, 48, 4, 18
2019/12/29, 44, , , , , 
2019/7/1, 110, 74, 86, 37, 5, 15
2019/7/2, 81, 72, 66, 40, 6, 14
2019/7/3, 92, 72, 98, 41, 4, 16
2019/7/4, 80, 68, 125, 52, 5, 19
2019/7/5, 95, 69, 50, 44, 5, 21
2019/7/6, 83, 65, 66, 36, 5, 9
2019/7/7, 80, 70, 102, 46, 6, 18
2019/7/8, 92, 70, 103, , 4, 15
2019/7/9, 83, 71, 72, , 3, 15
2019/7/10, 81, 68, 66, , 4, 11
2019/7/11, 75, 56, 42, , 4, 4
2019/7/12, 61, 64, 109, , 4, 4
2019/7/13, 88, 62, 85, , 4, 
2019/7/14, 90, 68, 49, 60, 4, 
2019/7/15, 88, 54, 34, 33, 3, 
2019/7/16, 59, 51, 40, 41, 3, 
2019/7/17, 55, 52, 44, 45, 4, 
2019/7/18, 60, 52, 77, 41, 4, 
2019/7/19, 57, 53, 77, 52, 4, 
2019/7/20, 54, 60, 45, 38, 4, 1
2019/7/21, 56, 51, 32, 35, 3, 6
2019/7/22, 47, 42, 67, 38, 4, 8
2019/7/23, 60, 49, 83, 49, 3, 13
2019/7/24, 71, 84, 26, 60, , 20
2019/7/25, 83, , , , , 
2019/8/8, 87, 64, 72, 46, 5, 17
2019/8/9, 76, 66, 74, 49, 6, 16
2019/8/10, 76, 72, 109, 68, 5, 13
2019/8/11, 78, 55, 106, 45, 4, 
2019/8/12, 60, 47, 80, 43, 5, 
2019/8/13, 57, 59, 99, 40, 6, 12
2019/8/14, 55, 55, 126, 55, 5, 14
2019/8/15, 55, 50, 102, 60, 5, 16
2019/8/16, 60, 45, 72, 58, 5, 17
2019/8/17, 46, 49, 69, 54, 4, 17
2019/8/18, 48, 53, 88, 58, 8, 20
2019/8/19, 65, 54, 105, 62, 8, 18
2019/8/20, 60, 58, 128, 69, 7, 22
2019/8/21, 74, 59, 83, 62, 6, 19
2019/8/22, 68, 53, 68, 49, 4, 16
2019/8/23, 47, 51, 80, 49, 5, 17
2019/8/24, 51, 57, 100, 53, 5, 16
2019/8/25, 63, 48, 65, 58, 7, 20
2019/8/26, 53, 55, 60, 55, 7, 21
2019/8/27, 64, 51, 59, 50, 6, 17
2019/8/28, 56, 57, 102, 51, 5, 17
2019/8/29, 63, 44, 83, 36, 5, 14
2019/8/30, 41, 47, 59, 43, 5, 15
2019/8/31, 47, 48, 44, 37, 5, 16
2019/9/1, 54, 58, 56, 47, 7, 22
2019/9/2, 67, 59, 78, 51, 8, 15
2019/9/3, 56, 56, 51, 40, 5, 19
2019/9/4, 53, 56, 75, 48, 5, 20
2019/9/5, 54, 50, 70, 48, 6, 15
2019/9/6, 52, 55, 54, 45, 5, 16
2019/9/7, 62, 62, 73, 46, 4, 15
2019/9/8, 65, 56, 59, 31, 4, 10
2019/9/9, 44, 40, 38, 25, 4, 9
2019/9/10, 32, 44, 37, 32, 5, 11
2019/9/11, 45, 50, 38, 33, 6, 9
2019/9/12, 44, 45, 47, 34, 4, 9
2019/9/13, 34, 44, 39, 36, 5, 10
2019/9/14, 42, 55, 51, 50, 6, 12
2019/9/15, 54, 60, 42, 48, 5, 13
2019/9/16, 58, 54, 46, 45, 5, 18
2019/9/17, 47, 60, 42, 45, 5, 21
2019/9/18, 65, 64, 73, 54, 7, 21
2019/9/19, 72, 55, 78, 56, 6, 17
2019/9/20, 60, 58, 41, 48, 5, 19
2019/9/21, 63, 83, 29, 49, 5, 23
2019/9/22, 91, 92, 35, 47, 5, 15
2019/9/23, 100, 71, 35, 46, 5, 15
2019/9/24, 70, 53, 39, 45, 5, 
2019/9/25, 51, 61, 29, 48, 4, 
2019/9/26, 56, 66, 56, 47, 5, 
2019/9/27, 79, 72, 31, 52, 5, 
2019/9/28, 76, 74, 28, 59, 6, 
2019/9/29, 96, 64, 31, 46, 6, 
2019/9/30, 76, 59, 33, 51, 6, 
2019/4/1, , , , , , 
2019/4/2, , , , , , 
2019/4/3, , , , , , 
2019/4/4, , , , , , 
2019/4/5, , , , , , 
2019/4/6, , , , , , 
2019/4/7, , , , , , 
2019/4/8, , , , , , 
2019/4/9, , , , , , 
2019/4/10, , , , , , 
2019/4/11, , , , , , 
2019/4/12, , , , , , 
2019/4/13, , , , , , 
2019/4/14, , , , , , 
2019/4/15, , , , , , 
2019/4/16, , , , , , 
2019/4/17, , , , , , 
2019/4/18, , , , , , 
2019/4/19, , , , , , 
2019/4/20, , , , , , 
2019/4/21, , , , , , 
2019/4/22, , , , , , 
2019/4/23, , , , , , 
2019/4/24, , , , , , 
2019/4/25, , , , , , 
2019/4/26, , , , , , 
2019/4/27, , , , , , 
2019/4/28, , , , , , 
2019/4/29, , , , , , 
2019/4/30, , , , , , 
2019/5/1, , , , , , 
2019/5/2, , , , , , 
2019/5/3, , , , , , 
2019/5/4, , , , , , 
2019/5/5, , , , , , 
2019/5/6, , , , , , 
2019/5/7, , , , , , 
2019/5/8, , , , , , 
2019/5/9, , , , , , 
2019/5/10, , , , , , 
2019/5/11, , , , , , 
2019/5/12, , , , , , 
2019/5/13, , , , , , 
2019/5/14, , , , , , 
2019/5/15, , , , , , 
2019/5/16, , , , , , 
2019/5/17, , , , , , 
2019/5/18, , , , , , 
2019/5/19, , , , , , 
2019/5/20, , , , , , 
2019/5/21, , , , , , 
2019/5/22, , , , , , 
2019/5/23, , , , , , 
2019/5/24, , , , , , 
2019/5/25, , , , , , 
2019/5/26, , , , , , 
2019/5/27, , , , , , 
2019/5/28, , , , , , 
2019/5/29, , , , , , 
2019/5/30, , , , , , 
2019/5/31, , , , , , 
2019/6/1, , , , , , 
2019/6/2, , , , , , 
2019/6/3, , , , , , 
2019/6/4, , , , , , 
2019/6/5, , , , , , 
2019/6/6, , , , , , 
2019/6/7, , , , , , 
2019/6/8, , , , , , 
2019/6/9, , , , , , 
2019/6/10, , , , , , 
2019/6/11, , , , , , 
2019/6/12, , , , , , 
2019/6/13, , , , , , 
2019/6/14, , , , , , 
2019/6/15, , , , , , 
2019/6/16, , , , , , 
2019/6/17, , , , , , 
2019/6/18, , , , , , 
2019/6/19, , , , , , 
2019/6/20, , , , , , 
2019/6/21, , , , , , 
2019/6/22, , , , , , 
2019/6/23, , , , , , 
2019/6/24, , , , , , 
2019/6/25, , , , , , 
2019/6/26, , , , , , 
2019/6/27, , 32, 81, 19, 5, 5
2019/6/28, 43, 57, 98, 40, 5, 13
2019/6/29, 75, 66, 103, 47, 6, 14
2019/6/30, 107, 75, 141, 59, 6, 19
2019/1/1, , , , , , 
2019/1/2, , , , , , 
2019/1/3, , , , , , 
2019/1/4, , , , , , 
2019/1/5, , , , , , 
2019/1/6, , , , , , 
2019/1/7, , , , , , 
2019/1/8, , , , , , 
2019/1/9, , , , , , 
2019/1/10, , , , , , 
2019/1/11, , , , , , 
2019/1/12, , , , , , 
2019/1/13, , , , , , 
2019/1/14, , , , , , 
2019/1/15, , , , , , 
2019/1/16, , , , , , 
2019/1/17, , , , , , 
2019/1/18, , , , , , 
2019/1/19, , , , , , 
2019/1/20, , , , , , 
2019/1/22, , , , , , 
2019/1/23, , , , , , 
2019/1/24, , , , , , 
2019/1/25, , , , , , 
2019/1/26, , , , , , 
2019/1/27, , , , , , 
2019/1/28, , , , , , 
2019/1/29, , , , , , 
2019/1/30, , , , , , 
2019/1/31, , , , , , 
2019/2/1, , , , , , 
2019/2/2, , , , , , 
2019/2/3, , , , , , 
2019/2/4, , , , , , 
2019/2/5, , , , , , 
2019/2/6, , , , , , 
2019/2/7, , , , , , 
2019/2/8, , , , , , 
2019/2/9, , , , , , 
2019/2/10, , , , , , 
2019/2/11, , , , , , 
2019/2/12, , , , , , 
2019/2/13, , , , , , 
2019/2/14, , , , , , 
2019/2/15, , , , , , 
2019/2/16, , , , , , 
2019/3/3, , , , , , 
2019/3/4, , , , , , 
2019/3/5, , , , , , 
2019/3/6, , , , , , 
2019/3/7, , , , , , 
2019/3/8, , , , , , 
2019/3/9, , , , , , 
2019/3/10, , , , , , 
2019/3/11, , , , , , 
2019/3/12, , , , , , 
2019/3/13, , , , , , 
2019/3/14, , , , , , 
2019/3/15, , , , , , 
2019/3/16, , , , , , 
2019/3/17, , , , , , 
2019/3/18, , , , , , 
2019/3/19, , , , , , 
2019/3/20, , , , , , 
2019/3/21, , , , , , 
2019/3/22, , , , , , 
2019/3/23, , , , , , 
2019/3/24, , , , , , 
2019/3/25, , , , , , 
2019/3/26, , , , , , 
2019/3/27, , , , , , 
2019/3/28, , , , , , 
2019/3/29, , , , , , 
2019/3/30, , , , , , 
2019/3/31, , , , , , 
2018/10/1, 53, 44, , 40, 4, 9
2018/10/2, 49, 52, , 40, 4, 14
2018/10/3, 58, 45, , 39, 4, 14
2018/10/4, 58, 40, , 37, 3, 8
2018/10/5, 60, 22, , 27, 3, 26
2018/10/6, 38, 17, , 33, 3, 13
2018/10/7, 32, 23, , 36, 3, 9
2018/10/8, 34, 42, , 49, 4, 22
2018/10/9, 72, 58, , 49, 5, 16
2018/10/10, 110, 52, , 49, 20, 
2018/10/11, 62, 36, , 33, 27, 
2018/10/12, 32, 41, , 32, 7, 
2018/10/13, 32, 34, , 39, 7, 16
2018/10/14, 60, 40, , 42, 3, 18
2018/10/15, 56, 29, , 36, 3, 9
2018/10/16, 53, 17, , 35, 7, 16
2018/10/17, 40, 38, , 39, , 17
2018/10/18, 54, 41, , 37, , 10
2018/10/19, 62, 45, , 45, , 19
2018/10/20, 60, 53, , 45, , 22
2018/10/21, 73, 48, , 40, , 16
2018/10/22, 65, 39, , 38, , 19
2018/10/23, 61, 45, , 38, , 15
2018/10/24, 46, 57, , 33, , 19
2018/10/25, 58, 42, , 30, , 20
2018/10/26, 60, 21, , 26, , 15
2018/10/27, 27, 18, , 32, 8, 13
2018/10/28, 58, 34, , 38, 6, 14
2018/10/29, 60, 38, , 45, 6, 18
2018/10/30, 57, 24, , 48, 5, 18
2018/10/31, 40, 30, , 48, 7, 21
2018/11/1, 54, 22, , 38, 4, 7
2018/11/2, 33, 22, , 43, 4, 9
2018/11/3, 35, 31, , 50, 5, 21
2018/11/4, 43, 37, , 57, 5, 20
2018/11/5, 51, 35, , 56, 6, 16
2018/11/6, 53, 10, , 50, 7, 27
2018/11/7, 37, 13, , 44, 5, 13
2018/11/8, 40, 14, , 50, 5, 26
2018/11/9, 46, 24, , 52, 4, 25
2018/11/10, 55, 23, , 46, 5, 23
2018/11/11, 65, 12, , 43, 4, 15
2018/11/12, 31, 7, , 40, 2, 17
2018/11/13, 22, 4, , 37, 3, 12
2018/11/14, 24, 29, , 38, 3, 14
2018/11/15, 38, 62, , 46, 4, 13
2018/11/16, 69, 74, , 54, 5, 29
2018/11/17, 69, 81, , 46, 3, 14
2018/11/18, 52, 79, , 54, 4, 22
2018/11/19, 74, 77, , 53, 5, 19
2018/11/20, 74, 80, , 62, 5, 31
2018/11/21, 98, 75, , 48, 4, 21
2018/11/22, 56, 73, , 42, 4, 11
2018/11/23, 51, 59, , 39, 4, 19
2018/11/24, 31, 54, , 34, 3, 13
2018/11/25, 31, 56, , 35, 3, 15
2018/11/26, 36, 64, , 48, 4, 19
2018/11/27, 38, 76, , 62, 5, 21
2018/11/28, 67, 89, , 76, 5, 23
2018/11/29, 114, 84, , 69, 4, 23
2018/11/30, 111, 80, , 60, 5, 36
2018/12/1, 68, 79, , 65, 5, 24
2018/12/2, 75, 87, , 63, 4, 13
2018/12/3, 75, 89, , 71, 4, 32
2018/12/4, 100, 90, , 71, 5, 
2018/12/5, 115, 84, , 59, 4, 30
2018/12/6, 99, 54, , 40, 2, 22
2018/12/7, 29, 62, , 44, 4, 29
2018/12/8, 37, 62, , 47, 3, 24
2018/12/9, 37, 66, , 45, 3, 18
2018/12/10, 41, 75, , 59, 4, 23
2018/12/11, 60, 79, , 71, 5, 24
2018/12/12, 77, 73, , 63, 7, 25
2018/12/13, 56, 67, , 50, 5, 16
2018/12/14, 50, 74, , 56, 5, 23
2018/12/15, 76, 82, , 67, 5, 30
2018/12/16, 84, 82, , 77, 11, 28
2018/12/17, 86, 60, , 43, 6, 14
2018/12/18, 45, 61, , 48, 5, 27
2018/12/19, 51, 76, , 53, 6, 29
2018/12/20, 59, 49, , 41, 4, 20
2018/12/21, 38, 58, , 42, 5, 23
2018/12/22, 36, 69, , 49, 5, 30
2018/12/23, 72, 72, , 54, 7, 27
2018/12/24, 89, 73, , 53, 6, 20
2018/12/25, 131, 84, , 78, 8, 34
2018/12/26, 171, 84, , 71, 6, 34
2018/12/27, 139, , , 51, 7, 24
2018/12/29, 40, , , 39, 5, 16
2018/12/30, 41, , , , , 
2018/7/1, 60, , , 34, 3, 15
